Title,Price,Shipping,Condition,Is Auction?,No Best Offer
 New Nintendo 3DS XL LL Metallic Black Console pen,C $200.03,+C $13.70 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 32GB Handheld Gaming System - Black (Not Working)  (PARTS),C $130.17,+C $23.43 shipping,Parts Only,False,True
[ NEAR MINT ] NINTENDO NEW 3DS XL LL Pearl White Console Japan Version 4280,C $287.62,+C $13.69 shipping,Pre-Owned,False,True
New ListingNew Nintendo 3DS XL System - Grey/Black RED-001 — TESTED W/Charger - No Stylus,C $268.36,+C $27.50 shipping,Pre-Owned,False,True
New ListingNintendo New 3DS XL Black Console RED-001 Complete In Box Charger Manual,C $274.04,+C $44.07 shipping,Pre-Owned,False,False
L3886 Ship Free Nintendo new 3DS LL XL console Metalic Black Japan fx,C $229.52,Free shipping,Pre-Owned,True,True
L3885 Ship Free Nintendo new 3DS LL XL console Lime Green x Black Japan w/pen,C $200.74,Free shipping,Pre-Owned,True,True
Broken “New” Japanese JP Pink Nintendo 3DS XL Game Console System Parts Repair,C $178.12,+C $24.84 shipping,Parts Only,False,True
New Nintendo 3DS XL Metallic Grey Console And Charger,C $328.67,+C $64.09 shipping estimate,Pre-Owned,False,True
Dual IPS Nintendo New 3DS XL Pearl White IPS Screen Top Bottom A3092,C $445.33,+C $9.59 shipping,Pre-Owned,True,True
New ListingNintendo New Nintendo 3DS LL Handheld Gaming Console - Metallic Red,C $65.77,+C $31.32 shipping,Pre-Owned,True,False
BOX ONLY - New Nintendo 3DS XL Pikachu Pokemon Limited Console Rare Edition,C $274.04,+C $27.67 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver S8901,C $230.19,+C $9.59 shipping,Pre-Owned,False,True
Nintendo NEW 3DS XL LL Lime 4GB Console w/ Extras (USA Seller),C $294.59,+C $38.97 shipping,Pre-Owned,False,True
"New ListingNintendo ""New"" 3DS XL + 26 Digital Games + 32GB + Grip & Charger - Metallic Red",C $397.36,+C $31.31 shipping,Pre-Owned,False,True
Nintendo New Nintendo 3DS XL SNES Edition.  ,C $520.63,+C $44.41 shipping,Pre-Owned,False,False
"New Nintendo 3DS XL Repair, Hinge, Button, Motherboard, Shell, Camera",C $54.74,+C $21.20 shipping,Pre-Owned,False,True
IPS Dual Nintendo new 3DS LL White Used Tested Console Excellent,C $409.43,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Majora's Mask Edition IPS 64gb Memory Card + Charger + Case,C $475.81,+C $58.52 shipping estimate,Pre-Owned,False,False
L2699 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan,C $167.86,Free shipping,Pre-Owned,True,True
"Dual IPS New Nintendo 3DS XL Console, Blue. Fully Tested & Working. UK PAL 🇬🇧",C $432.57,+C $57.01 shipping estimate,Pre-Owned,False,True
[ NEAR MINT ] NINTENDO NEW 3DS XL LL Pearl White Console Japan Version 4279,C $287.62,+C $13.69 shipping,Pre-Owned,False,True
New ListingDual IPS Nintendo new 3DS LL XL Console White Japan #119,C $315.16,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Blue Console Japanese ver 012,C $171.28,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL Legend of Zelda Hyrule Edition Console Tested WORKS GREAT!,C $548.10,+C $45.22 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Red Console Stylus Working Tested Japanese ver,C $244.81,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console Charger Japanese ver [CC],C $232.81,Free shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console & Stylus Metallic Blue NTSC-J Good,C $253.50,Free shipping,Pre-Owned,True,True
New Nintendo 3DS LL XL Metallic Blue Console Stylus Pen Japan Version #83-2,C $212.39,Free shipping,Pre-Owned,False,True
Nintendo New 3DS LL XL Region Free Charger SD and Stylus Included,C $313.79 to C $354.89,+C $28.04 shipping,Pre-Owned,False,True
Top IPS BLUE New Nintendo 3DS XL/LL US REGION 256GB SD (200+ Games installed),C $438.48,+C $32.52 shipping,Pre-Owned,False,False
New 3DS LL XL Pearl White Japan Nintendo Console region Japanese ♯777,C $184.98,+C $20.55 shipping,Pre-Owned,False,True
B32 Nintendo new 3DS LL XL console Metallic Black N3DS Handheld Japan JP USED,C $104.14,+C $34.26 shipping,Pre-Owned,True,True
B37 Nintendo new 3DS LL XL console Metallic Red JAPAN Game Adapter Box SET,C $233.63,+C $34.26 shipping,Pre-Owned,True,True
B31 Nintendo new 3DS LL XL console Metallic Blue JAPAN Box Adapter Working SET,C $208.96,+C $34.26 shipping,Pre-Owned,True,True
Nintendo New 3DS LL XL Console only 5 Colors Excellent Used Japanese Tested,C $248.55,+C $41.11 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL lime Black Console Stylus Working Tested Japanese ver,C $232.34,Free shipping,Pre-Owned,False,True
[Excellent]new Nintendo 3DS LL XL Console Various colors Japan,C $219.24 to C $415.19,Free shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console Various Colors NTSC-J Excellent,C $273.91,Free shipping,Pre-Owned,False,True
[ MINT ] NINTENDO NEW 3DS XL LL Pearl White Console Japan Version 4285,C $301.32,+C $13.69 shipping,Pre-Owned,False,True
[ MINT ] NINTENDO NEW 3DS XL LL Pearl White Console Japan Version 4276,C $301.32,+C $13.69 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Metallic Grey Console *TOP SCREEN IPS* SENT NEXT DAY RM24,C $389.30,+C $55.52 shipping estimate,Pre-Owned,False,True
Nintendo NEW 3DS LL XL Metallic Blue Console w/ extras (USA Seller)  *DUAL IPS *,C $363.10,+C $40.98 shipping,Pre-Owned,False,True
Nintendo NEW 3DS LL XL Metallic Blue Console w/ extras (USA Seller)  *DUAL IPS *,C $357.96,+C $40.83 shipping,Pre-Owned,False,True
Nintendo NEW 3DS LL XL Metallic Blue Console w/ Stylus Charger + 4GB SD * IPS *,C $301.44,+C $39.16 shipping,Pre-Owned,False,True
L4024 Nintendo new 3DS LL XL console Metallic Blue Japan fx,C $164.42,+C $34.26 shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL Console only Various colors Used Japanese Japan,C $239.79 to C $424.78,Free shipping,Pre-Owned,False,True
New 3DS LL XL Metalic blue Japan Nintendo Console region Japanese ♯781,C $191.83,+C $20.55 shipping,Pre-Owned,False,True
Boxed New Nintendo 3DS XL Metallic Blue Console. VGC,C $449.86,+C $62.41 shipping estimate,Pre-Owned,False,False
New Nintendo 3DS LL Metallic Black Ac Chenger USED,C $259.39,+C $28.78 shipping,Pre-Owned,False,True
L3966 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan w/pen fx,C $205.52,Free shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Metallic Black IPS Screen TOP Japan ver R3334,C $219.23,+C $9.59 shipping,Pre-Owned,False,True
RANK B+ Nintendo New 3DS LL XL Metallic Black Tested Japan ver S3330,C $232.93,+C $9.59 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console Stylus Working Tested Japanese ver,C $260.44,Free shipping,Pre-Owned,False,True
Nintendo 3DS XL RED + 3 Games + Grip ,C $308.31,+C $37.02 shipping,New (Other),False,True
New Nintendo 3DS XL System - Black - Bundle - Good Condition - Tested/Works!,C $327.49,+C $29.25 shipping,Pre-Owned,False,True
Dual IPS Nintendo new 3DS LL XL Console Red Japan #116,C $308.31,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Pearl White Console Charger Box Japanese ver [BOX],C $267.06,Free shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL Console Pearl White Dual IPS LCD Near Mint / Region Free,C $548.09,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Monster Hunter 4G Special Box Japanese ver [BOX],C $298.00,+C $19.68 shipping,Pre-Owned,False,False
L4025 Nintendo new 3DS LL XL console White Japan fx,C $164.42,+C $34.26 shipping,Pre-Owned,False,True
N3DS Nintendo New 3DS XL Handheld Gaming System - Black With 32gb SD Card Region,C $219.17,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Pikachu Yellow Console Stylus Working Tested Japanese ver,C $366.35,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Metallic Blue Tested Japan ver R1126,C $205.52,+C $9.59 shipping,Pre-Owned,False,True
"""New"" Nintendo 3DS XL Handheld Game Console RED-001 Metallic Black W/ Charger",C $337.50,+C $17.50 shipping,Pre-Owned,False,False
New Nintendo 3DS XL LL PEARL WHITE console & Charger & pokemon sun JAPAN region,C $208.28,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL GREAT CONDITION!,C $342.56,+C $39.16 shipping,Pre-Owned,False,True
New 3DS black Kisekae Plate Animal Crossin Nintendo Console region Japanese ♯355,C $287.75,+C $20.55 shipping,Pre-Owned,False,True
Nintendo NEW 3DS XL Red 4GB Console w/ Extras (USA),C $280.89,+C $38.56 shipping,Pre-Owned,False,True
Nintendo NEW 3DS LL XL White Console w/ extras (USA Seller),C $287.74,+C $38.76 shipping,Pre-Owned,False,True
Nintendo NEW 3DS LL XL Metallic Blue Console w/ Stylus Charger+ 4GB (USA Seller),C $287.74,+C $38.76 shipping,Pre-Owned,False,True
Nintendo NEW 3DS XL LL Red 4GB Console w/ Extras (USA Seller) IPS,C $287.74,+C $38.76 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Red Console AS-IS for parts (USA),C $104.13,+C $33.35 shipping,Parts Only,False,True
Nintendo NEW 3DS LL XL Metallic Blue Console w/ Stylus Charger + 4GB SD * IPS *,C $301.44,+C $39.16 shipping,Pre-Owned,False,True
Nintendo NEW 3DS LL XL White Console w/ extras (USA Seller)  *DUAL IPS *,C $369.95,+C $41.19 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic blue Japan Nintendo Console region Japanese ♯767,C $198.69,+C $20.55 shipping,Pre-Owned,False,True
New Ninendo 3DS XL Orange and Black With Charger & Case,C $354.69,+C $66.37 shipping estimate,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black,"C $1,096.20",+C $61.39 shipping,Brand New,False,False
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver S6735,C $230.19,+C $9.59 shipping,Pre-Owned,False,True
NEW Nintendo 3DS XL LL Console Animal Crossing Limited + accessories [Unopened],C $741.29,Free shipping,Brand New,False,True
New Nintendo 3DS XL Gray Black Metallic Console US Model Charger & Stylus,C $308.29,+C $28.68 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic black Japan Nintendo Console region Japanese ♯772,C $178.13,+C $20.55 shipping,Pre-Owned,False,True
NEW Nintendo 3DS XL LL Pearl White Console New Japan ver.,C $438.21,Free shipping,Brand New,False,True
Nintendo NEW 3DS LL/XL Handheld Console - Metalic Blue JAPANESE VERSION READ,C $198.97,+C $25.94 shipping,Parts Only,False,False
New Nintendo 3DS LL XL Console Various Color Box Manual NTSC-J (Good),C $253.48 to C $671.41,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Color Variation Japan ver RANK B Whole Sale DISCOUNT ITEM,C $209.63,+C $9.59 shipping,Pre-Owned,False,True
Nintendo new 3DS XL Metallic Black Touch pen NTSC-J used JAPAN Fedex F/S,C $191.83,Free shipping,Pre-Owned,False,False
New 3DS XL/LL In-Built Loopy Capture Card w/USB-C Charging (Red),C $753.62,+C $50.03 shipping,Pre-Owned,False,True
Nintendo New Nintendo 3DS XL SNES Edition Handheld Console W/ Project X Zone 2,C $685.12,+C $51.88 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic black Japan Nintendo Console region Japanese ♯760,C $150.73,+C $20.55 shipping,Pre-Owned,False,True
L3321 Ship Free Nintendo new 3DS LL XL console Metallic Red Japan w/box,C $229.52,Free shipping,Pre-Owned,True,True
New Nintendo 3DS XL LL Metallic Black Console Charger Box Japanese ver [BOX],C $246.63,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL Metallic Black 4GB - With Charger,C $315.14,+C $28.88 shipping,Pre-Owned,False,True
New Nintendo 3DS LL Console Lime black Japan model with box,C $219.23,Free shipping,Pre-Owned,False,True
M Nintendo New 3DS console LL XL Select Color Japan ver Free Ship w/box,C $232.93,Free shipping,Pre-Owned,False,True
L3963 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan w/pen fx,C $178.12,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black. Excellent Condition. CIB,C $431.63,+C $47.88 shipping,Pre-Owned,True,True
New 3DS LL XL Metalic blue Japan Nintendo Console region Japanese ♯788,C $164.43,+C $20.55 shipping,Pre-Owned,False,True
L3877 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan w/box fx,C $245.27,Free shipping,Pre-Owned,True,True
IPS Nintendo New 3DS XL Metallic Blue IPS Screen Top Japan ver R2915,C $200.04,+C $9.59 shipping,Pre-Owned,False,True
RANK A IPS Nintendo New 3DS XL Monster Hunter X Cross IPS Screen Bottom S3308,C $246.63,+C $9.59 shipping,Pre-Owned,False,True
L3875 Nintendo new 3DS LL XL console Monster Hunter Cross Red Japan w/pen x,C $210.33,Free shipping,Pre-Owned,True,True
"New Nintendo 3DS XL LL Region Free Console - SD, Charger, Stylus - USA Seller",C $300.08 to C $582.36,+C $28.04 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Pikachu Yellow Console Stylus Japanese ver [H],C $369.83,Free shipping,Pre-Owned,False,True
IPS Top Nintendo new 3DS LL Blue Console w/ Box Used Near Mint,C $368.32,Free shipping,Pre-Owned,False,True
USB-C INBUILT CAPTURE CARD Orange New Nintendo 3DS XL Console 128gb REGION FREE,C $800.26,+C $45.47 shipping,Pre-Owned,False,True
NEW Nintendo 3DS LL XL Console System Metallic Blue Japanese Ver.  New,C $394.49,Free shipping,Brand New,False,True
New Nintendo 3DS XL LL White x pink Console region Japanese ♯779,C $205.54,+C $20.55 shipping,Pre-Owned,False,True
"""New"" Nintendo 3DS XL Pikachu Yellow Edition - Complete in Box - USA Version",C $890.47,+C $45.86 shipping,New (Other),False,True
New Nintendo 3DS XL  Gray Handheld Gaming System And 2 Games,C $191.82,+C $36.19 shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL Accessory complete console Used Region free (Excellent),C $335.44 to C $774.18,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Super Famicom Edition Console Stylus Japanese ver [H],C $498.77,Free shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL The Legend of Zelda Majora's Mask Edition Excellent +,C $386.96,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Black - Bundle - Great Condition - Tested/Works!,C $315.16,+C $54.74 shipping,Pre-Owned,False,True
"New Nintendo 3DS XL Gray Black Nice! Console W/ Stylus , Charger US Model",C $328.86,+C $29.28 shipping,Pre-Owned,False,True
New Nintendo 3ds XL Red With 100+ Games,C $411.01,+C $40.09 shipping,Pre-Owned,False,True
New 3DS LL XL Pearl White Japan Nintendo Console region Japanese ♯783,C $184.98,+C $20.55 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL pearl white Console Stylus Working Tested Japanese ver,C $241.16,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Black - Bundle - Great Condition - Must See!!!,C $315.16,+C $54.74 shipping,Pre-Owned,False,True
IPS Nintendo New 3DS LL XL Metallic Black IPS Screen TOP Japan ver S9803,C $232.93,+C $9.59 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black System w/Charger And Case US Version,C $300.00,+C $16.00 shipping,Pre-Owned,False,False
New Nintendo 3DS LL XL Console Dual IPS Metallic Blue Near Mint / Region Free,C $506.98,Free shipping,Pre-Owned,False,True
New 3DS LL XL Pearl White Japan Nintendo Console region Japanese ♯775,C $212.39,+C $20.55 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Blue Console Japanese ver,C $171.28,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black NO RESERVE PRICE,C $278.30,+C $60.58 shipping,Pre-Owned,True,True
New 3DS white Kisekae Plate Mrio Console region Japanese ♯570,C $191.83,+C $20.55 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Black/Gray Handheld Gaming System (QW110771814),C $239.79,+C $26.67 shipping,Pre-Owned,False,True
L3951 Nintendo new 3DS LL XL console Metallic Black Japan w/pen x,C $164.42,+C $34.26 shipping,Pre-Owned,False,True
New Nintendo 3DS XL  IPS Majora’s Mask  Console with Games/charger And Stylus,C $582.36,+C $64.63 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Handheld Gaming System - Metallic Gray,C $308.31,+C $40.76 shipping,Pre-Owned,False,False
L3952 Nintendo new 3DS LL XL console Metallic Black Japan,C $164.42,+C $34.26 shipping,Pre-Owned,False,True
Nintendo New 3DS XL 128GB Storage - Blue - Region Free,C $404.22,+C $41.11 shipping,Pre-Owned,False,True
L3954 Nintendo new 3DS LL XL console Metallic Black Japan w/pen fx,C $164.42,+C $34.26 shipping,Pre-Owned,False,True
New 3DS LL XL Metalic black Japan Nintendo Console region Japanese ♯776,C $191.83,+C $20.55 shipping,Pre-Owned,False,True
New 3DS black  Nintendo Console region Japanese ♯771,C $198.69,+C $20.55 shipping,Pre-Owned,False,True
Nintendo New Nintendo 3DS LL Handheld Gaming Console - Metallic Red,C $315.16,+C $32.26 shipping,Pre-Owned,False,False
New Nintendo 3DS XL LL Monster Hunter 4G Special Console only Working good,C $218.94,Free shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL Console only Various colors Used RANK A/B Region free,"C $267.18 to C $1,349.68",Free shipping,Pre-Owned,False,True
[TOP MINT]Dual IPS Nintendo new 3DS LL XL Console Animal Crossing Japan #110,C $479.59,Free shipping,Pre-Owned,False,True
[TOP MINT]Bottom IPS Nintendo new 3DS LL XL Console Monster Hunter Japan #108,C $383.67,Free shipping,Pre-Owned,False,True
[TOP MINT]Dual IPS Nintendo new 3DS LL XL Console Animal Crossing Japan #109,C $561.80,Free shipping,Pre-Owned,False,True
Top IPS Nintendo new 3DS LL XL Console The Legend of Zelda Hyrul Used Japan #107,C $315.16,Free shipping,Pre-Owned,False,True
[MINT]Dual IPS Nintendo new 3DS LL XL Console White Japan #114,C $342.56,Free shipping,Pre-Owned,False,True
Top IPS Nintendo new 3DS LL XL Console Black Used Japan #103,C $246.64,Free shipping,Pre-Owned,False,True
Top IPS Nintendo new 3DS LL XL Console Blue Used Japan #98,C $246.64,Free shipping,Pre-Owned,False,True
[MINT]Nintendo new 3DS LL XL Console Pikachu Yellow Used Japan #111,C $411.07,Free shipping,Pre-Owned,False,True
[NEAR MINT]Top IPS Nintendo new 3DS LL XL Console Monster Hunter 4G Japan #113,C $301.45,Free shipping,Pre-Owned,False,True
Bottom IPS new Nintendo 3DS LL XL Console Black Used Japan #55,C $246.64 to C $253.50,Free shipping,Pre-Owned,False,True
L3599 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan w/pen,C $215.81,Free shipping,Pre-Owned,True,True
"USED Japanese New Nintendo 3DS XL LL Pokemon Solgaleo Lunala console ""Mint""",C $341.12,+C $12.33 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Blue Console NTSC-J From Japan Used,C $219.24,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL Handheld Gaming Console Metallic Red Great Condition TESTED,C $246.64,+C $38.07 shipping,Pre-Owned,True,True
Nintendo New 3DS XL With Charger 4GB Handheld Gaming System - Black,C $315.14,+C $45.94 shipping,Pre-Owned,False,True
